split_id,split_index,experiment_id,user_id,true_state,true_state_name,M,candidate,q_exact,q_hat,error,absolute_error,squared_error,margin_abs_q_minus_alpha,exact_decision,mc_decision,decision_disagreement,hoeffding_decision_bound,n_blocks,exact_permutation_count
exp25_user12_cut150,25,25,12,1,moving,100,"(0,)",0.5714285714285714,0.62,0.0485714285714286,0.0485714285714286,0.0023591836734693904,0.3714285714285714,True,True,False,1.039962215491048e-12,21,420
exp25_user12_cut150,25,25,12,1,moving,100,"(1,)",0.22058823529411764,0.21,-0.010588235294117648,0.010588235294117648,0.00011211072664359864,0.02058823529411763,True,True,False,0.9187188934430777,17,272
exp25_user12_cut150,25,25,12,1,moving,250,"(0,)",0.5714285714285714,0.588,0.01657142857142857,0.01657142857142857,0.00027461224489795915,0.3714285714285714,True,True,False,1.1029197186570764e-30,21,420
exp25_user12_cut150,25,25,12,1,moving,250,"(1,)",0.22058823529411764,0.204,-0.016588235294117654,0.016588235294117654,0.0002751695501730106,0.02058823529411763,True,True,False,0.8090150844801116,17,272
exp25_user12_cut150,25,25,12,1,moving,500,"(0,)",0.5714285714285714,0.578,0.006571428571428561,0.006571428571428561,4.318367346938762e-05,0.3714285714285714,True,True,False,1.2164319058026047e-60,21,420
exp25_user12_cut150,25,25,12,1,moving,500,"(1,)",0.22058823529411764,0.228,0.007411764705882368,0.007411764705882368,5.4934256055363544e-05,0.02058823529411763,True,True,False,0.654505406916362,17,272
exp25_user12_cut150,25,25,12,1,moving,1000,"(0,)",0.5714285714285714,0.575,0.0035714285714285587,0.0035714285714285587,1.2755102040816236e-05,0.3714285714285714,True,True,False,1.4797065814545567e-120,21,420
exp25_user12_cut150,25,25,12,1,moving,1000,"(1,)",0.22058823529411764,0.245,0.024411764705882355,0.024411764705882355,0.0005959342560553634,0.02058823529411763,True,True,False,0.4283773276827527,17,272
exp36_user18_cut153,26,36,18,0,stationary,25,"(0,)",0.15151515151515152,0.16,0.008484848484848484,0.008484848484848484,7.199265381083562e-05,0.04848484848484849,False,False,False,0.8891058122658415,12,132
exp36_user18_cut153,26,36,18,0,stationary,25,"(1,)",0.8846153846153846,0.84,-0.04461538461538461,0.04461538461538461,0.001990532544378698,0.6846153846153846,True,True,False,6.642741669699702e-11,26,650
exp36_user18_cut153,26,36,18,0,stationary,50,"(0,)",0.15151515151515152,0.2,0.04848484848484849,0.04848484848484849,0.002350780532598715,0.04848484848484849,False,False,False,0.7905091454049019,12,132
exp36_user18_cut153,26,36,18,0,stationary,50,"(1,)",0.8846153846153846,0.88,-0.004615384615384577,0.004615384615384577,2.1301775147928637e-05,0.6846153846153846,True,True,False,4.4126016890364786e-21,26,650
exp36_user18_cut153,26,36,18,0,stationary,100,"(0,)",0.15151515151515152,0.18,0.028484848484848474,0.028484848484848474,0.0008113865932047744,0.04848484848484849,False,False,False,0.6249047089687884,12,132
exp36_user18_cut153,26,36,18,0,stationary,100,"(1,)",0.8846153846153846,0.9,0.015384615384615441,0.015384615384615441,0.0002366863905325461,0.6846153846153846,True,True,False,1.9471053666087584e-41,26,650
exp36_user18_cut153,26,36,18,0,stationary,250,"(0,)",0.15151515151515152,0.152,0.00048484848484847687,0.00048484848484847687,2.3507805325986372e-07,0.04848484848484849,False,False,False,0.30869848156235385,12,132
exp36_user18_cut153,26,36,18,0,stationary,250,"(1,)",0.8846153846153846,0.892,0.007384615384615434,0.007384615384615434,5.453254437869895e-05,0.6846153846153846,True,True,False,1.672914072497432e-102,26,650
exp36_user18_cut153,26,36,18,0,stationary,500,"(0,)",0.15151515151515152,0.154,0.0024848484848484786,0.0024848484848484786,6.17447199265378e-06,0.04848484848484849,False,False,False,0.09529475251890293,12,132
exp36_user18_cut153,26,36,18,0,stationary,500,"(1,)",0.8846153846153846,0.886,0.0013846153846154285,0.0013846153846154285,1.917159763313731e-06,0.6846153846153846,True,True,False,2.7986414939599428e-204,26,650
exp36_user18_cut153,26,36,18,0,stationary,1000,"(0,)",0.15151515151515152,0.163,0.011484848484848487,0.011484848484848487,0.0001319017447199266,0.04848484848484849,False,False,False,0.009081089857638957,12,132
exp36_user18_cut153,26,36,18,0,stationary,1000,"(1,)",0.8846153846153846,0.893,0.008384615384615435,0.008384615384615435,7.030177514792983e-05,0.6846153846153846,True,True,False,0.0,26,650
exp45_user22_cut150,27,45,22,1,moving,25,"(0,)",0.34615384615384615,0.2,-0.14615384615384613,0.14615384615384613,0.021360946745562125,0.14615384615384613,True,False,True,0.3436789517169686,26,650
exp45_user22_cut150,27,45,22,1,moving,25,"(1,)",0.26515151515151514,0.2,-0.06515151515151513,0.06515151515151513,0.004244719926538105,0.06515151515151513,True,False,True,0.8087738073948537,12,132
exp45_user22_cut150,27,45,22,1,moving,50,"(0,)",0.34615384615384615,0.26,-0.08615384615384614,0.08615384615384614,0.007422485207100589,0.14615384615384613,True,True,False,0.11811522185327444,26,650
exp45_user22_cut150,27,45,22,1,moving,50,"(1,)",0.26515151515151514,0.28,0.014848484848484889,0.014848484848484889,0.0002204775022956853,0.06515151515151513,True,True,False,0.654115071527968,12,132
exp45_user22_cut150,27,45,22,1,moving,100,"(0,)",0.34615384615384615,0.29,-0.056153846153846165,0.056153846153846165,0.0031532544378698236,0.14615384615384613,True,True,False,0.013951205633448241,26,650
exp45_user22_cut150,27,45,22,1,moving,100,"(1,)",0.26515151515151514,0.28,0.014848484848484889,0.014848484848484889,0.0002204775022956853,0.06515151515151513,True,True,False,0.42786652680003867,12,132
exp45_user22_cut150,27,45,22,1,moving,250,"(0,)",0.34615384615384615,0.356,0.009846153846153838,0.009846153846153838,9.694674556213001e-05,0.14615384615384613,True,True,False,2.2989490694564215e-05,26,650
exp45_user22_cut150,27,45,22,1,moving,250,"(1,)",0.26515151515151514,0.292,0.026848484848484844,0.026848484848484844,0.0007208411386593202,0.06515151515151513,True,True,False,0.11974869226793229,12,132
exp45_user22_cut150,27,45,22,1,moving,500,"(0,)",0.34615384615384615,0.374,0.027846153846153854,0.027846153846153854,0.0007754082840236691,0.14615384615384613,True,True,False,5.285166823954545e-10,26,650
exp45_user22_cut150,27,45,22,1,moving,500,"(1,)",0.26515151515151514,0.29,0.024848484848484842,0.024848484848484842,0.0006174471992653808,0.06515151515151513,True,True,False,0.014339749299879948,12,132
exp45_user22_cut150,27,45,22,1,moving,1000,"(0,)",0.34615384615384615,0.364,0.017846153846153845,0.017846153846153845,0.0003184852071005917,0.14615384615384613,True,True,False,2.7932988357029777e-19,26,650
exp45_user22_cut150,27,45,22,1,moving,1000,"(1,)",0.26515151515151514,0.267,0.001848484848484877,0.001848484848484877,3.416896235078159e-06,0.06515151515151513,True,True,False,0.00020562840998340746,12,132
